site,tag,species,dbh,height,canopy_ht,brooms,rot,Dead / Alive_v1,Dead / Alive_v2,Dead / Alive_v3,Dead / Alive_v4,Inf Location_v1,Inf Location_v2,Inf Location_v3,Inf Location_v4,Gouting_v1,Gouting_v2,Gouting_v3,Gouting_v4,Beetle_v1,Beetle_v2,Beetle_v3,Beetle_v4,NL_v1,NL_v2,NL_v3,NL_v4,NLW_v1,NLW_v2,NLW_v3,NLW_v4,NM_v1,NM_v2,NM_v3,NM_v4,NMW_v1,NMW_v2,NMW_v3,NMW_v4,NH_v1,NH_v2,NH_v3,NH_v4,NHW_v1,NHW_v2,NHW_v3,NHW_v4,SL_v1,SL_v2,SL_v3,SL_v4,SLW_v1,SLW_v2,SLW_v3,SLW_v4,SM_v1,SM_v2,SM_v3,SM_v4,SMW_v1,SMW_v2,SMW_v3,SMW_v4,SH_v1,SH_v2,SH_v3,SH_v4,SHW_v1,SHW_v2,SHW_v3,SHW_v4,Notes_v1,Notes_v2,Notes_v3,Notes_v4,WSB_v1,WSB_v2,WSB_v3,WSB_v4,infested_v1,infested_v2,infested_v3,infested_v4,new_infestation,tag_ID,unique_ID,Number,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset,distance,tagID
CXSP,922,ABLA,5.2,35.3,7.9,0,0,1,1,1,1,"BR, BO","BR, BO","BR, BO","BR, BO",2,2,2,2,0,0,0,0,3,3,3,3,4-2,4-3,4–5,4-12,3,3,3,4,1-11,1-10,1–12,1-17,3,3,3,3,2-13,2-12,2–14,2-16,4,4,4,4,,1-4,1–0,2-0,4,4,4,3,2-19,2-16,2–18,2-18,2,3,3,2,3-2,3-2,3–1,3-5,,,,,,,,,1,1,1,1,0,ABLA922,CXSPABLA922,2972,,Point,41.64150762,-111.4922828,2243.374,-16.903,0.060381199,CXSPABLA922
CXSP,923,ABLA,5.5,34.3,8.5,0,0,1,1,1,1,"BR, BO","BR, BO","BR, BO","BR, BO",2,2,2,2,0,0,0,0,2,2,2,2,2-7,2-8,2–8,2-12,3,3,3,3,3-11,3-8,3–7,3-15,3,3,3,3,2-19,2-19,2–17,2-19,3,3,3,3,4-5,4-5,4–3,4-8,4,4,4,4,1-21,1-14,1–17,1-29,3,3,3,3,2-6,2-5,2–7,2-9,,,,,,,,,1,1,1,1,0,ABLA923,CXSPABLA923,2973,,Point,41.64150732,-111.4922774,2245.374,-16.903,0.059951247,CXSPABLA923
CXSP,924,ABLA,4.7,29.5,9.8,0,0,1,1,1,1,"BR, BO","BR, BO","BR, BO","BR, BO",2,2,1,1,0,0,0,0,3,3,3,3,2-21,2-23,2–22,2-27,3,3,3,4,4-15,4-18,4–23,4-30,3,3,3,3,1-5,1-6,1–8,1-18,3,3,3,3,2-14,2-17,2–15,2-18,3,3,3,4,2-11,2-12,3–23,3-20,2,2,3,3,2-17,2-14,2–20,2-32,,,,,,,,,1,1,1,1,0,ABLA924,CXSPABLA924,2974,,Point,41.64150891,-111.4922946,2246.059,-16.903,0.061347124,CXSPABLA924
CXSP,925,ABLA,1.9,14.5,0.9,0,0,1,1,1,1,BO,BO,BO,BO,,,,,0,0,0,0,1,1,1,2,0,0,0,,2,2,2,2,0,0,0,,2,1,2,1,0,0,0,,1,1,1,2,0,0,0,,1,1,1,2,0,0,0,,1,0,1,1,0,0,0,,,,,,,,,,1,1,1,1,0,ABLA925,CXSPABLA925,2975,,Point,41.64151871,-111.4922946,2242.029,-16.903,0.061748365,CXSPABLA925
CXSP,926,ABLA,1.6,8,0,0,0,1,1,1,1,BO,BO,BO,BO,1,2,2,2,0,0,0,0,0,0,0,2,0,0,0,,1,1,1,2,0,0,0,,0,0,0,0,0,0,0,,0,1,0,2,0,0,0,,0,0,0,2,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,1,1,1,1,0,ABLA926,CXSPABLA926,2976,,Point,41.64149747,-111.4922988,2242.68,-16.903,0.061228108,CXSPABLA926
CXSP,927,ABLA,2.1,12,0,0,0,1,1,1,1,BO,BO,BO,BO,1,1,1,1,0,0,0,0,2,2,0,2,0,0,0,,1,2,2,2,0,0,0,,1,1,1,1,0,0,0,,2,2,1,2,0,0,0,,2,2,1,2,0,0,0,,0,0,1,1,0,0,0,,,,,,,,,,1,1,1,1,0,ABLA927,CXSPABLA927,2977,,Point,41.64150292,-111.4922922,2241.776,-16.903,0.060923444,CXSPABLA927
CXSP,928,ABLA,2,9.6,0.5,0,0,1,1,1,1,BO,"BR, BO","BR, BO","BR, BO",2,2,,,0,0,0,0,0,0,0,2,0,0,0,,1,1,1,1,0,0,0,,0,0,0,0,0,0,0,,0,0,2,1,0,0,0,,0,1,2,1,0,0,0,,0,0,1,0,0,0,0,,,,,,,,,,1,1,1,1,0,ABLA928,CXSPABLA928,2978,,Point,41.64150642,-111.4922935,2244.423,-16.903,0.061162457,CXSPABLA928
CXSP,929,ABLA,2.8,14.7,0,0,0,1,1,1,1,BO,BO,BO,BO,1,2,2,2,0,0,0,0,2,2,2,2,0,0,0,,2,2,2,2,0,0,0,,2,1,1,1,0,0,0,,0,0,1,2,0,0,0,,1,1,1,2,0,0,0,,1,0,0,2,0,0,0,,,,,,,,,,1,1,1,1,0,ABLA929,CXSPABLA929,2979,,Point,41.64150469,-111.4923008,2244.537,-16.903,0.061661657,CXSPABLA929
CXSP,930,ABLA,1.2,7.4,0,0,0,1,1,1,1,BO,"BR, BO","BR, BO","BR, BO",2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,,2,2,2,2,0,0,0,,1,1,1,1,0,0,0,,0,1,1,2,0,0,0,,1,0,1,2,0,0,0,,0,0,0,1,0,0,0,,,,,,,,,,1,1,1,1,0,ABLA930,CXSPABLA930,2980,,Point,41.64151991,-111.4922876,2243.226,-16.903,0.061260431,CXSPABLA930
CXSP,931,ABLA,1.1,7.9,0,0,0,1,1,1,1,0,0,BO,BO,2,2,2,2,0,0,0,0,0,0,0,2,0,0,0,,0,0,1,2,0,0,0,,0,0,0,1,0,0,0,,0,0,0,2,0,0,0,,0,0,0,2,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,0,0,1,1,1,ABLA931,CXSPABLA931,2981,,Point,41.64151093,-111.4923078,2245.963,-16.903,0.062451504,CXSPABLA931
