Number,Name,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset
4337,potr62,"",Point,40.5457355421667,-111.0298059155,2652.344,-16.585
4336,potr61,"",Point,40.5457248353333,-111.029790769167,2647.744,-16.585
4335,potr60,"",Point,40.545724578,-111.0297783885,2646.378,-16.585
4334,potr59,"",Point,40.5457022221667,-111.029772509667,2643.55,-16.585
4333,potr58,"",Point,40.5456968703333,-111.0298028295,2650.639,-16.585
4332,potr57,"",Point,40.5457686853333,-111.029929206,2645.143,-16.585
4331,potr56,"",Point,40.5457533611667,-111.029977026833,2651.73,-16.585
4330,potr55,"",Point,40.5457312578333,-111.029953785833,2649.11,-16.585
4329,potr54,"",Point,40.5457142233333,-111.029988621667,2654.895,-16.585
4328,potr53,"",Point,40.5456544345,-111.029914315667,2644.926,-16.585
4327,potr52,"",Point,40.5456728618333,-111.029903328333,2643.085,-16.585
4326,potr51,"",Point,40.545641968,-111.029911801167,2646.944,-16.585
4325,potr50,"",Point,40.5456452611667,-111.029948634,2644.852,-16.585
4324,potr49,"",Point,40.5456380431667,-111.0299206955,2642.334,-16.585
4323,potr48,"",Point,40.545634125,-111.029893260333,2642.004,-16.585
4322,potr47,"",Point,40.5456259545,-111.029905544833,2643.581,-16.585
4321,potr46,"",Point,40.5456254918333,-111.029897624,2643.566,-16.585
4320,potr45,"",Point,40.5456287031667,-111.029897964667,2644.107,-16.585
4319,potr44,"",Point,40.5456296495,-111.029902794,2644.179,-16.585
4318,potr43,"",Point,40.5456271661667,-111.029918165167,2645.333,-16.585
4317,potr42,"",Point,40.5456459365,-111.029858879833,2645.265,-16.585
4316,potr41,"",Point,40.5457006265,-111.029784532667,2645.593,-16.585
4315,potr40,"",Point,40.5456902551667,-111.0297961915,2642.765,-16.585
4314,potr39,"",Point,40.5456703673333,-111.029814383167,2644.792,-16.585
4313,potr38,"",Point,40.545649158,-111.029866531833,2647.637,-16.585
4312,potr37,"",Point,40.545666394,-111.029851508833,2644.194,-16.585
4311,potr36,"",Point,40.5456289326667,-111.0298649505,2653.017,-16.585
4310,potr35,"",Point,40.5456641626667,-111.0298365995,2638.131,-16.585
4309,potr34,"",Point,40.545649443,-111.0298241835,2644.877,-16.585
4308,potr33,"",Point,40.5456594158333,-111.029840884833,2647.19,-16.585
4307,potr32,"",Point,40.5456473515,-111.029822977,2642.392,-16.585
4306,potr27,"",Point,40.5456238405,-111.0298092735,2648.768,-16.585
4305,potr26,"",Point,40.5456419181667,-111.029841424667,2646.451,-16.585
4304,potr25,"",Point,40.5456390216667,-111.0298451285,2643.138,-16.585
4303,potr24,"",Point,40.5456219753333,-111.029855572333,2645.968,-16.585
4302,potr23,"",Point,40.5456080448333,-111.029854762333,2646.161,-16.585
4301,potr22,"",Point,40.5456084501667,-111.029825594667,2646.062,-16.585
4300,potr21,"",Point,40.5455998413333,-111.029811604,2644.008,-16.585
4299,potr20,"",Point,40.5456172321667,-111.029817429,2642.034,-16.585
4298,potr19,"",Point,40.5455975495,-111.0298354945,2643.394,-16.585
4297,potr18,"",Point,40.5455932518333,-111.029846782167,2641.925,-16.585
4296,potr17,"",Point,40.5455922468333,-111.029858141333,2642.656,-16.585
4295,potr16,"",Point,40.5455979713333,-111.0298547695,2642.751,-16.585
4294,potr15,"",Point,40.545592432,-111.029858447,2642.872,-16.585
4293,potr14,"",Point,40.545561527,-111.029894973667,2647.953,-16.585
4292,potr13,"",Point,40.5455782203333,-111.029858967333,2642.738,-16.585
4291,potr12,"",Point,40.5455825075,-111.0298459285,2641.789,-16.585
4290,potr11,"",Point,40.5455711173333,-111.029840614333,2643.543,-16.585
4289,potr10,"",Point,40.5455661695,-111.029844324833,2643.024,-16.585
4288,potr8,"",Point,40.5455358608333,-111.029828355667,2643.445,-16.585
4287,potr9,"",Point,40.545537093,-111.029827978833,2648.199,-16.585
4286,potr7,"",Point,40.5455382795,-111.0298497115,2641.851,-16.585
4285,potr7,"",Point,40.5455382795,-111.0298497115,2641.851,-16.585
4284,potr6,"",Point,40.545532331,-111.029838800833,2641.359,-16.585
4283,potr5,"",Point,40.5455374041667,-111.0298258865,2644.057,-16.585
