source,Site ID_Visit1,Tag #_Visit1,Species_Visit1,DBH_Visit1,Height_Visit1,Canopy Height_Visit1,Dead / Alive_Visit1,Inf Location_Visit1,Gouting_Visit1,Broom (#)_Visit1,Beetle_Visit1,Rot_Visit1,NL_Visit1,NLW_Visit1,NM_Visit1,NMW_Visit1,NH_Visit1,NHW_Visit1,SL_Visit1,SLW_Visit1,SM_Visit1,SMW_Visit1,SH_Visit1,SHW_Visit1,Notes_Visit1,Visit_Visit1,tag_ID,Latitude.focal,Longitude.focal,Site ID_Visit2,Tag #_Visit2,Species_Visit2,DBH_Visit2,Height_Visit2,Canopy Height_Visit2,Dead / Alive_Visit2,Inf Location_Visit2,Gouting_Visit2,Broom (#)_Visit2,Beetle_Visit2,Rot_Visit2,NL_Visit2,NLW_Visit2,NM_Visit2,NMW_Visit2,NH_Visit2,NHW_Visit2,SL_Visit2,SLW_Visit2,SM_Visit2,SMW_Visit2,SH_Visit2,SHW_Visit2,Notes_Visit2,Visit_Visit2,ChangeInVariable,Number,Tag #,Description,GeometryType,Elevation,GeoidOffset,distance,unique_ID,TARGET,DISTANCE,TARGET2,DISTANCE2,geometry.x,Latitude.target,Longitude.target,geometry.y,bearings1,Latitude.target2,Longitude.target2,geometry,bearings2,infestation_sum_Visit1_focal,infestation_sum_Visit2_focal,inf_sum_Visit1_target,inf_sum_Visit2_target
2,EMIG,768,ABLA,2.8,7.2,0,1,0,NA,0,-,-,0,-,0,-,0,-,0,-,0,-,0,-,NA,1,EMIG768,42.3741574,-111.5536039,EMIG,768,ABLA,2.8,7.2,0,1,0,NA,0,-,-,0,-,0,-,0,-,0,-,0,-,0,-,NA,2,0,2505,768,NA,Point,2221.446,NA,0.172091522,EMIG_768_537,EMIG_769_538,0.982854992,EMIG_769_538,0.982854992,NA,42.37415874,-111.5536157,NA,-81.29263873,42.37415874,-111.5536157,NA,-81.29263873,0,0,4,7
2,EMIG,769,ABLA,4.5,18.5,5.7,1,1,NA,0,-,-,0,-,2,-,1,-,1,-,0,-,0,-,NA,1,EMIG769,42.37415874,-111.5536157,EMIG,769,ABLA,4.5,18.5,5.7,1,1,NA,0,-,-,1,-,2,-,1,-,1,-,1,-,1,-,NA,2,0,2506,769,NA,Point,2222.568,NA,0.171203207,EMIG_769_538,EMIG_767_536,1.07853361,EMIG_767_536,1.07853361,NA,42.37414938,-111.5536122,NA,164.5033478,42.37414938,-111.5536122,NA,164.5033478,4,7,2,3
2,EMIG,770,ABLA,5,18.8,0,1,1,NA,0,-,-,1,-,2,2-Mar,0,-,1,-,1,-,1,-,NA,1,EMIG770,42.37413805,-111.5536278,EMIG,770,ABLA,5,18.8,0,1,1,NA,0,-,-,1,-,2,1-Mar,1,-,1,-,1,-,1,-,NA,2,0,2507,770,NA,Point,2219.738,NA,0.171678141,EMIG_770_539,EMIG_767_536,1.797889459,EMIG_767_536,1.797889459,NA,42.37414938,-111.5536122,NA,45.59312151,42.37414938,-111.5536122,NA,45.59312151,6,7,2,3
2,EMIG,771,ABLA,NA,6.3,0,1,1,NA,1,-,-,0,-,0,-,0,-,0,-,1,-,0,-,1 DB,1,EMIG771,42.37412034,-111.5536152,EMIG,771,ABLA,NA,6.3,0,1,0,NA,1,-,-,0,-,0,-,0,-,0,-,0,-,0,-,1 DB,2,-1,2508,771,NA,Point,2220.182,NA,0.173653235,EMIG_771_540,EMIG_772_541,0.594791213,EMIG_772_541,0.594791213,NA,42.3741167,-111.5536205,NA,-132.8073638,42.3741167,-111.5536205,NA,-132.8073638,1,0,3,3
2,EMIG,772,ABLA,3.4,17.8,5.7,1,1,NA,2,-,-,0,-,0,-,1,-,0,-,1,-,1,-,"WOB, 1 DB",1,EMIG772,42.3741167,-111.5536205,EMIG,772,ABLA,3.4,17.8,5.7,1,1,NA,2,-,-,0,-,0,-,1,-,0,-,1,-,1,-,"WOB, 1 DB",2,0,2509,772,NA,Point,2220.322,NA,0.173530142,EMIG_772_541,EMIG_771_540,0.594791213,EMIG_773_542,0.889700111,NA,42.37412034,-111.5536152,NA,47.19263261,42.37411697,-111.5536313,NA,-88.06891595,3,3,1,0
2,EMIG,773,ABLA,3.2,16.8,3.9,1,1,NA,0,-,-,0,-,0,-,0,-,0,-,1,-,0,-,NA,1,EMIG773,42.37411697,-111.5536313,EMIG,773,ABLA,3.2,16.8,3.9,1,1,NA,0,-,-,0,-,0,-,0,-,0,-,1,-,0,-,NA,2,0,2510,773,NA,Point,2221.331,NA,0.172788849,EMIG_773_542,EMIG_772_541,0.889700111,EMIG_772_541,0.889700111,NA,42.3741167,-111.5536205,NA,91.93107677,42.3741167,-111.5536205,NA,91.93107677,1,1,3,3
2,EMIG,774,ABLA,1.9,7.2,5.7,1,0,NA,0,-,-,0,-,0,-,0,-,0,-,0,-,0,-,Broken Top,1,EMIG774,42.37412598,-111.5536467,EMIG,774,ABLA,1.9,7.2,5.7,1,0,NA,0,-,-,0,-,0,-,0,-,0,-,0,-,0,-,Broken Top,2,0,2511,774,NA,Point,2222.015,NA,0.171177335,EMIG_774_543,EMIG_778_546,1.604385386,EMIG_778_546,1.604385386,NA,42.37413186,-111.5536645,NA,-65.98643776,42.37413186,-111.5536645,NA,-65.98643776,0,0,1,1
2,EMIG,776,ABLA,1.4,8.4,2.9,1,0,NA,0,-,-,0,-,0,-,0,-,0,-,0,-,0,-,NA,1,EMIG776,42.37409855,-111.5536151,EMIG,776,ABLA,1.4,8.4,2.9,1,0,NA,0,-,-,0,-,0,-,0,-,0,-,0,-,0,-,NA,2,0,2513,776,NA,Point,2218.437,NA,0.175062311,EMIG_776_544,EMIG_772_541,2.06381474,EMIG_772_541,2.06381474,NA,42.3741167,-111.5536205,NA,-12.44046592,42.3741167,-111.5536205,NA,-12.44046592,0,0,3,3
2,EMIG,777,ABLA,6.6,27.2,7.5,1,0,NA,0,-,-,0,-,0,-,0,-,0,-,0,-,0,-,NA,1,EMIG777,42.37412649,-111.5536456,EMIG,777,ABLA,6.6,27.2,7.5,1,0,NA,0,-,-,0,-,0,-,0,-,0,-,0,-,0,-,NA,2,0,2514,777,NA,Point,2220.988,NA,0.171218226,EMIG_777_545,EMIG_773_542,1.582282255,EMIG_773_542,1.582282255,NA,42.37411697,-111.5536313,NA,131.919035,42.37411697,-111.5536313,NA,131.919035,0,0,1,1
2,EMIG,778,ABLA,2.8,14.5,5.4,1,1,NA,0,-,-,0,-,0,-,0,-,0,-,1,-,0,-,NA,1,EMIG778,42.37413186,-111.5536645,EMIG,778,ABLA,2.8,14.5,5.4,1,1,NA,0,-,-,0,-,0,-,0,-,0,-,1,-,0,-,NA,2,0,2515,778,NA,Point,2222.249,NA,0.169606808,EMIG_778_546,EMIG_760_529,1.186910564,EMIG_760_529,1.186910564,NA,42.37413963,-111.5536744,NA,-43.37233771,42.37413963,-111.5536744,NA,-43.37233771,1,1,7,6
2,EMIG,779,ABLA,1.2,7.8,4.1,1,0,NA,1,-,-,0,-,0,-,0,-,0,-,0,-,0,-,1 DB,1,EMIG779,42.3741118,-111.5536852,EMIG,779,ABLA,1.2,7.8,4.1,1,0,NA,1,-,-,0,-,0,-,0,-,0,-,0,-,0,-,1 DB,2,0,2516,779,NA,Point,2220.415,NA,0.169539584,EMIG_779_547,EMIG_778_546,2.804656881,EMIG_763_532,1.256830482,NA,42.37413186,-111.5536645,NA,37.42080356,42.37412227,-111.5536794,NA,22.33047618,0,0,1,1
