Number,Name,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset
3678,226,,Point,41.87040215,-111.5148789,2623.134,-16.933
3677,225,,Point,41.87041937,-111.5148926,2622.465,-16.933
,224,,,41.87041937,-111.5148926,2622.465,-16.933
3676,223,,Point,41.87044736,-111.5148979,2614.12,-16.933
3675,222,,Point,41.87042685,-111.5148804,2618.853,-16.933
3674,221,,Point,41.87038937,-111.5148449,2617.163,-16.933
3673,220,,Point,41.87037954,-111.5148508,2609.024,-16.933
3672,219,,Point,41.87042816,-111.5148591,2621.481,-16.933
3671,218,,Point,41.87047313,-111.5149162,2618.619,-16.933
,217,,,41.87047313,-111.5149162,2618.619,-16.933
3670,216,,Point,41.87051395,-111.5148273,2619.374,-16.933
3669,215,,Point,41.87057377,-111.5148895,2617.019,-16.933
3668,214,,Point,41.87046079,-111.5148679,2613.918,-16.933
3667,213,,Point,41.8705382,-111.5148519,2608.531,-16.933
3666,212,,Point,41.87052062,-111.5148244,2614.099,-16.933
3665,211,,Point,41.87054231,-111.5148108,2617.312,-16.933
3664,210,,Point,41.87053773,-111.5147931,2609.404,-16.933
3663,209,,Point,41.87053278,-111.5148131,2617.168,-16.933
3662,208,,Point,41.87054741,-111.5148442,2616.692,-16.933
3661,207,,Point,41.87055645,-111.514892,2612.738,-16.933
,206,,,41.87055645,-111.514892,2612.738,-16.933
3660,205,,Point,41.8706273,-111.5148452,2615.752,-16.933
3659,204,,Point,41.87053853,-111.5148543,2608.984,-16.933
3658,203,,Point,41.87055152,-111.5148429,2626.516,-16.933
3657,202,,Point,41.87058116,-111.5147899,2613.867,-16.933
3656,201,,Point,41.87058536,-111.5148217,2614.232,-16.933
3655,200,,Point,41.87060414,-111.5148185,2608.958,-16.933
3654,199,,Point,41.87061723,-111.5147384,2609.065,-16.933
3652,198,,Point,41.87065084,-111.5147958,2607.238,-16.933
3651,197,,Point,41.87068397,-111.5148117,2609.015,-16.933
3650,196,,Point,41.87062189,-111.5147006,2607.035,-16.933
,195,,,41.87062189,-111.5147006,2607.035,-16.933
